"","Birmingham New Street","London St Pancras","Manchester Piccadilly","Tamworth","Stafford","London Euston","Nuneaton","Reading","Liverpool Lime Street","Edinburgh","London Paddington","York","Coventry","London Kings Cross","Wolverhampton"
"Birmingham New Street",0,223576.909292574,117206.471692472,29508.7755100411,43998.7874160034,223005.593521633,48179.0208588933,153627.617613756,158498.249762725,412324.95855567,219405.811255868,189317.376527557,43901.8859652745,224518.217677361,28127.3312729338
"London St Pancras",223576.909292574,0,318985.799941187,212870.405921926,263400.91182359,842.373186460287,185796.047856431,94207.3121792464,379834.648416753,598490.5863141,5832.93302085127,290767.013672935,182321.776303442,1063.60458941297,251668.818597256
"Manchester Piccadilly",117206.471692472,318985.799941187,0,111344.496421919,75893.2334262905,318589.452532571,135796.175846145,265085.46011727,83489.7692698825,295222.336617383,315974.951007947,139737.111180806,143466.210036761,319771.283724852,99961.1769033774
"Tamworth",29508.7755100411,212870.405921926,111344.496421919,0,51846.2679439055,212381.671765909,27385.1429996769,153768.969200752,167259.750616339,404884.650625236,209252.934018949,162798.623080867,32205.0193091737,213742.128826622,49381.0209806525
"Stafford",43998.7874160034,263400.91182359,75893.2334262905,51846.2679439055,0,262878.902682809,79121.5224968775,197305.416161316,116518.651951523,369781.326319665,259552.808391772,174116.906508704,81081.350088493,264301.252234452,24384.8081212267
"London Euston",223005.593521633,842.373186460287,318589.452532571,212381.671765909,262878.902682809,0,185321.795570095,93390.3321352312,379321.739509938,598264.084807108,4992.28385571031,290736.547589926,181798.327637284,1879.08174932479,251093.729914546
"Nuneaton",48179.0208588932,185796.047856431,135796.175846145,27385.1429996769,79121.5224968775,185321.795570095,0,131191.783494422,194600.569466879,426718.571694839,182282.373969959,166269.507738791,13776.1114468209,186655.136986248,73677.2613981916
"Reading",153627.617613756,94207.3121792464,265085.46011727,153768.969200752,197305.416161316,93390.3321352312,131191.783494422,0,311542.375213834,557865.371622262,88481.419329086,279523.07306124,121814.954657293,95266.3097824461,179910.59677225
"Liverpool Lime Street",158498.249762725,379834.648416753,83489.7692698825,167259.750616339,116518.651951523,379321.739509938,194600.569466879,311542.375213834,0,283950.979830039,376037.457937028,220779.879412307,197562.328891211,380726.753670701,131632.51378685
"Edinburgh",412324.95855567,598490.5863141,295222.336617383,404884.650625236,369781.326319665,598264.084807108,426718.571694839,557865.371622262,283950.979830039,0,596614.269827876,322908.62984107,436302.870433609,599101.92601058,392752.970603997
"London Paddington",219405.811255868,5832.93302085127,315974.951007947,209252.934018949,259552.808391772,4992.28385571031,182282.373969959,88481.4193290861,376037.457937028,596614.269827876,0,290261.21212285,178478.106833976,6861.53751566474,247469.133994705
"York",189317.376527557,290767.013672935,139737.111180806,162798.623080867,174116.906508704,290736.547589926,166269.507738791,279523.07306124,220779.879412307,322908.62984107,290261.21212285,0,180005.149110668,291159.570038568,193282.275206131
"Coventry",43901.8859652744,182321.776303442,143466.210036761,32205.0193091737,81081.350088493,181798.327637284,13776.1114468209,121814.954657293,197562.328891211,436302.870433609,178478.106833976,180005.149110668,0,183223.926586515,71448.5766125221
"London Kings Cross",224518.217677361,1063.60458941297,319771.283724853,213742.128826622,264301.252234452,1879.08174932479,186655.136986248,95266.3097824461,380726.753670701,599101.92601058,6861.53751566474,291159.570038568,183223.926586515,0,252612.991037344
"Wolverhampton",28127.3312729338,251668.818597256,99961.1769033774,49381.0209806525,24384.8081212267,251093.729914546,73677.2613981916,179910.59677225,131632.51378685,392752.970603997,247469.133994705,193282.275206131,71448.576612522,252612.991037344,0
