Route,Date of Journey,Departure Time,Departure Station,Arrival Destination,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Delay in Minutes,Trip ID,Day Type
London Paddington to Liverpool Lime Street,1/1/2024,11:00:00,London Paddington,Liverpool Lime Street,13:30:00,13:30:00,On Time,No delay,0,1,Weekday
London Kings Cross to York,1/1/2024,9:45:00,London Kings Cross,York,11:35:00,11:40:00,Delayed,Signal Failure,5,2,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/2/2024,18:15:00,Liverpool Lime Street,Manchester Piccadilly,18:45:00,18:45:00,On Time,No delay,0,3,Weekday
London Paddington to Reading,1/1/2024,21:30:00,London Paddington,Reading,22:30:00,22:30:00,On Time,No delay,0,4,Weekday
Liverpool Lime Street to London Euston,1/1/2024,16:45:00,Liverpool Lime Street,London Euston,19:00:00,19:00:00,On Time,No delay,0,5,Weekday
London Kings Cross to York,1/1/2024,6:15:00,London Kings Cross,York,8:05:00,8:05:00,On Time,No delay,0,6,Weekday
London Euston to Oxford,1/1/2024,22:30:00,London Euston,Oxford,23:40:00,23:40:00,On Time,No delay,0,7,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/1/2024,0:00:00,Liverpool Lime Street,Manchester Piccadilly,0:30:00,0:30:00,On Time,No delay,0,8,Weekday
London Euston to York,1/1/2024,0:00:00,London Euston,York,1:50:00,2:07:00,Delayed,Signal Failure,17,9,Weekday
London Paddington to Reading,1/1/2024,1:30:00,London Paddington,Reading,2:30:00,2:30:00,On Time,No delay,0,10,Weekday
York to Durham,1/1/2024,1:45:00,York,Durham,2:35:00,2:35:00,On Time,No delay,0,11,Weekday
London Paddington to Reading,1/1/2024,2:15:00,London Paddington,Reading,3:15:00,3:15:00,On Time,No delay,0,12,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/1/2024,4:15:00,Manchester Piccadilly,Liverpool Lime Street,4:45:00,4:45:00,On Time,No delay,0,13,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/1/2024,5:00:00,Manchester Piccadilly,Liverpool Lime Street,5:30:00,5:30:00,On Time,No delay,0,14,Weekday
Birmingham New Street to London St Pancras,1/1/2024,6:30:00,Birmingham New Street,London St Pancras,7:50:00,7:50:00,On Time,No delay,0,15,Weekday
London Paddington to Reading,1/1/2024,7:45:00,London Paddington,Reading,8:45:00,8:45:00,On Time,No delay,0,16,Weekday
London St Pancras to Birmingham New Street,1/1/2024,7:30:00,London St Pancras,Birmingham New Street,8:50:00,8:50:00,On Time,No delay,0,17,Weekday
London Kings Cross to York,1/1/2024,7:30:00,London Kings Cross,York,9:20:00,9:20:00,On Time,No delay,0,18,Weekday
London Kings Cross to York,1/1/2024,9:00:00,London Kings Cross,York,10:50:00,10:50:00,On Time,No delay,0,19,Weekday
Birmingham New Street to Manchester Piccadilly,1/1/2024,11:15:00,Birmingham New Street,Manchester Piccadilly,12:35:00,13:06:00,Delayed,Technical Issue,31,20,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/1/2024,10:30:00,Liverpool Lime Street,Manchester Piccadilly,11:00:00,11:00:00,On Time,No delay,0,21,Weekday
London Kings Cross to York,1/1/2024,9:30:00,London Kings Cross,York,11:20:00,11:20:00,On Time,No delay,0,22,Weekday
London Euston to Birmingham New Street,1/1/2024,12:45:00,London Euston,Birmingham New Street,14:05:00,14:05:00,On Time,No delay,0,23,Weekday
London Euston to Birmingham New Street,1/1/2024,13:15:00,London Euston,Birmingham New Street,14:35:00,14:35:00,On Time,No delay,0,24,Weekday
Manchester Piccadilly to London Paddington,1/1/2024,13:45:00,Manchester Piccadilly,London Paddington,16:00:00,16:00:00,On Time,No delay,0,25,Weekday
Oxford to Bristol Temple Meads,1/1/2024,14:15:00,Oxford,Bristol Temple Meads,15:30:00,15:54:00,Delayed,Signal Failure,24,26,Weekday
London Paddington to Reading,1/1/2024,15:00:00,London Paddington,Reading,16:00:00,16:00:00,On Time,No delay,0,27,Weekday
London Euston to Birmingham New Street,1/1/2024,16:30:00,London Euston,Birmingham New Street,17:50:00,17:50:00,On Time,No delay,0,28,Weekday
London Kings Cross to York,1/1/2024,17:00:00,London Kings Cross,York,18:50:00,18:50:00,On Time,No delay,0,29,Weekday
London St Pancras to Birmingham New Street,1/1/2024,17:45:00,London St Pancras,Birmingham New Street,19:05:00,19:05:00,On Time,No delay,0,30,Weekday
London Paddington to Reading,1/1/2024,18:15:00,London Paddington,Reading,19:15:00,19:15:00,On Time,No delay,0,31,Weekday
London Kings Cross to York,1/1/2024,17:45:00,London Kings Cross,York,19:35:00,19:35:00,On Time,No delay,0,32,Weekday
Birmingham New Street to Tamworth,1/1/2024,18:45:00,Birmingham New Street,Tamworth,19:05:00,19:05:00,On Time,No delay,0,33,Weekday
London Euston to Birmingham New Street,1/1/2024,23:30:00,London Euston,Birmingham New Street,0:50:00,0:50:00,On Time,No delay,0,34,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/1/2024,2:45:00,Manchester Piccadilly,Liverpool Lime Street,3:15:00,3:15:00,On Time,No delay,0,35,Weekday
London St Pancras to Birmingham New Street,1/1/2024,4:30:00,London St Pancras,Birmingham New Street,5:50:00,5:50:00,On Time,No delay,0,36,Weekday
Birmingham New Street to London St Pancras,1/1/2024,4:30:00,Birmingham New Street,London St Pancras,5:50:00,5:50:00,On Time,No delay,0,37,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/1/2024,5:00:00,Liverpool Lime Street,Manchester Piccadilly,5:30:00,5:30:00,On Time,No delay,0,38,Weekday
London Euston to Birmingham New Street,1/2/2024,2:15:00,London Euston,Birmingham New Street,3:35:00,,Cancelled,Technical Issue,,39,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/1/2024,5:30:00,Manchester Piccadilly,Liverpool Lime Street,6:00:00,6:00:00,On Time,No delay,0,40,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/1/2024,6:00:00,Liverpool Lime Street,Manchester Piccadilly,6:30:00,6:30:00,On Time,No delay,0,41,Weekday
London Kings Cross to York,1/1/2024,6:30:00,London Kings Cross,York,8:20:00,8:20:00,On Time,No delay,0,42,Weekday
London St Pancras to Birmingham New Street,1/1/2024,6:30:00,London St Pancras,Birmingham New Street,7:50:00,7:50:00,On Time,No delay,0,43,Weekday
Manchester Piccadilly to London Euston,1/2/2024,3:30:00,Manchester Piccadilly,London Euston,5:20:00,5:31:00,Delayed,Weather Conditions,11,44,Weekday
London Kings Cross to York,1/1/2024,6:45:00,London Kings Cross,York,8:35:00,8:35:00,On Time,No delay,0,45,Weekday
London Paddington to London Waterloo,1/1/2024,7:30:00,London Paddington,London Waterloo,9:00:00,9:00:00,On Time,No delay,0,46,Weekday
London Kings Cross to York,1/1/2024,7:45:00,London Kings Cross,York,9:35:00,9:35:00,On Time,No delay,0,47,Weekday
Liverpool Lime Street to London Euston,1/1/2024,8:00:00,Liverpool Lime Street,London Euston,10:15:00,10:39:00,Delayed,Weather Conditions,24,48,Weekday
London St Pancras to Birmingham New Street,1/1/2024,8:00:00,London St Pancras,Birmingham New Street,9:20:00,9:20:00,On Time,No delay,0,49,Weekday
Manchester Piccadilly to Sheffield,1/1/2024,8:15:00,Manchester Piccadilly,Sheffield,9:00:00,9:00:00,On Time,No delay,0,50,Weekday
London Paddington to Reading,1/1/2024,8:45:00,London Paddington,Reading,9:45:00,9:45:00,On Time,No delay,0,51,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/1/2024,9:15:00,Liverpool Lime Street,Manchester Piccadilly,9:45:00,9:45:00,On Time,No delay,0,52,Weekday
Birmingham New Street to London St Pancras,1/2/2024,6:30:00,Birmingham New Street,London St Pancras,7:50:00,7:50:00,On Time,No delay,0,53,Weekday
London St Pancras to Wolverhampton,1/2/2024,6:30:00,London St Pancras,Wolverhampton,8:00:00,8:00:00,On Time,No delay,0,54,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,7:45:00,Manchester Piccadilly,Liverpool Lime Street,8:15:00,8:15:00,On Time,No delay,0,55,Weekday
London Euston to Birmingham New Street,1/1/2024,9:45:00,London Euston,Birmingham New Street,11:05:00,11:05:00,On Time,No delay,0,56,Weekday
Manchester Piccadilly to London Euston,1/2/2024,8:00:00,Manchester Piccadilly,London Euston,9:50:00,10:08:00,Delayed,Weather Conditions,18,57,Weekday
London Kings Cross to York,1/1/2024,11:45:00,London Kings Cross,York,13:35:00,13:35:00,On Time,No delay,0,58,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/1/2024,13:15:00,Manchester Piccadilly,Liverpool Lime Street,13:45:00,13:45:00,On Time,No delay,0,59,Weekday
London St Pancras to Birmingham New Street,1/1/2024,14:15:00,London St Pancras,Birmingham New Street,15:35:00,15:35:00,On Time,No delay,0,60,Weekday
London Paddington to Reading,1/1/2024,15:30:00,London Paddington,Reading,16:30:00,16:30:00,On Time,No delay,0,61,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/1/2024,16:00:00,Manchester Piccadilly,Liverpool Lime Street,16:30:00,16:30:00,On Time,No delay,0,62,Weekday
London Euston to Birmingham New Street,1/1/2024,16:00:00,London Euston,Birmingham New Street,17:20:00,17:20:00,On Time,No delay,0,63,Weekday
Liverpool Lime Street to London Euston,1/1/2024,17:00:00,Liverpool Lime Street,London Euston,19:15:00,19:15:00,On Time,No delay,0,64,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/1/2024,17:15:00,Liverpool Lime Street,Manchester Piccadilly,17:45:00,17:45:00,On Time,No delay,0,65,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/1/2024,17:45:00,Manchester Piccadilly,Liverpool Lime Street,18:15:00,18:15:00,On Time,No delay,0,66,Weekday
London St Pancras to Birmingham New Street,1/2/2024,15:00:00,London St Pancras,Birmingham New Street,16:20:00,16:20:00,On Time,No delay,0,67,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/1/2024,18:30:00,Liverpool Lime Street,Manchester Piccadilly,19:00:00,19:00:00,On Time,No delay,0,68,Weekday
London St Pancras to Birmingham New Street,1/2/2024,15:30:00,London St Pancras,Birmingham New Street,16:50:00,16:50:00,On Time,No delay,0,69,Weekday
London St Pancras to Birmingham New Street,1/1/2024,18:45:00,London St Pancras,Birmingham New Street,20:05:00,20:05:00,On Time,No delay,0,70,Weekday
London Euston to Birmingham New Street,1/2/2024,16:00:00,London Euston,Birmingham New Street,17:20:00,,Cancelled,Technical Issue,,71,Weekday
London St Pancras to Birmingham New Street,1/2/2024,17:00:00,London St Pancras,Birmingham New Street,18:20:00,18:20:00,On Time,No delay,0,72,Weekday
London St Pancras to Birmingham New Street,1/2/2024,17:45:00,London St Pancras,Birmingham New Street,19:05:00,19:05:00,On Time,No delay,0,73,Weekday
London St Pancras to Birmingham New Street,1/2/2024,18:00:00,London St Pancras,Birmingham New Street,19:20:00,19:20:00,On Time,No delay,0,74,Weekday
London St Pancras to Birmingham New Street,1/2/2024,18:45:00,London St Pancras,Birmingham New Street,20:05:00,20:05:00,On Time,No delay,0,75,Weekday
London Kings Cross to York,1/2/2024,17:45:00,London Kings Cross,York,19:35:00,19:35:00,On Time,No delay,0,76,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/2/2024,19:15:00,Manchester Piccadilly,Liverpool Lime Street,19:45:00,19:45:00,On Time,No delay,0,77,Weekday
